39	3	100	39	35	29	57	39	9	36	90	74	
89	100	72	81	55	61	27	34	60	41	43	95	
87	25	78	73	83	45	61	20	9	88	50	68	
96	21	97	4	85	37	21	90	32	96	81	100	
14	5	26	58	65	57	32	68	53	22	12	29	
60	86	32	59	88	85	49	45	15	99	80	18	
47	36	40	48	32	100	27	26	31	54	27	21	
80	38	47	17	50	98	62	58	65	35	71	89	
76	16	98	60	80	23	49	9	77	86	91	43	
35	31	41	85	92	48	42	12	5	58	68	26	
58	68	99	32	1	35	98	4	41	67	56	100	
27	37	57	79	53	2	41	59	71	62	100	79	
15	59	74	13	48	3	53	88	25	89	20	56	
90	23	10	82	51	100	4	42	76	76	28	10	
89	42	83	49	83	53	83	55	46	62	84	35	
5	19	95	6	27	49	81	58	67	47	7	75	
70	40	82	28	63	61	61	97	96	33	32	88	
31	48	47	42	71	75	55	47	20	100	33	65	
76	76	89	96	16	15	64	82	62	22	53	61	
4	28	64	77	49	66	61	48	91	47	88	39	
1	44	64	19	49	63	41	23	80	34	16	56	
69	50	66	43	60	45	2	5	68	73	19	1	
58	74	69	97	19	33	9	30	48	58	43	10	
100	11	39	87	48	54	19	85	10	34	68	14	
22	16	76	85	33	39	43	61	98	93	9	96	
91	80	86	76	60	73	47	44	66	98	16	74	
22	74	50	28	3	61	35	28	45	41	8	88	
32	28	35	34	9	58	92	68	95	78	5	80	
12	80	56	6	81	2	8	78	40	100	48	19	
96	16	7	28	90	98	57	31	14	22	29	67	
63	47	55	98	67	4	23	26	83	77	43	7	
3	48	18	74	8	73	78	92	49	39	59	70	
47	35	40	52	37	94	1	24	64	34	58	64	
32	89	43	6	78	94	68	87	66	88	27	46	
96	4	27	7	75	53	80	19	10	2	97	61	
15	36	4	77	84	68	84	9	20	19	67	29	
74	68	50	83	92	54	22	22	42	79	8	51	
100	68	29	22	70	54	91	22	6	59	26	47	
59	65	74	34	20	28	75	78	11	71	98	26	
11	69	32	11	48	48	25	8	1	14	7	67	
78	78	78	61	20	61	34	97	90	45	59	37	
65	9	92	13	93	43	80	4	45	39	24	33	
81	64	69	22	71	8	21	23	96	3	3	36	
84	92	32	99	11	100	28	41	37	70	78	11	
93	31	51	74	25	26	43	50	41	55	61	66	
81	22	88	100	39	93	2	30	2	57	2	10	
87	53	28	34	34	43	100	87	13	81	95	47	
31	11	37	72	28	81	72	7	22	76	95	93	
63	44	3	88	29	80	30	25	19	1	28	65	
38	76	3	6	90	79	81	35	27	26	97	18	
6	38	2	73	32	81	75	67	20	95	52	17	
7	37	8	88	69	44	56	8	79	4	70	74	
57	78	41	74	93	26	88	21	39	29	9	56	
66	66	96	4	26	83	28	85	87	91	73	52	
35	86	63	70	100	52	58	13	16	1	94	97	
57	17	81	56	55	23	71	73	59	47	69	63	
65	85	29	88	73	28	32	48	11	62	57	48	
97	28	98	18	65	78	49	63	31	25	89	11	
50	28	92	72	97	60	47	45	85	79	75	51	
18	14	70	88	59	50	40	72	14	60	63	34	
71	3	41	97	39	31	31	86	52	20	1	27	
15	93	21	100	35	13	48	93	20	74	75	61	
6	60	97	61	7	64	65	12	62	46	63	78	
57	99	68	58	85	47	82	40	97	54	92	86	
61	73	49	95	64	84	46	98	44	9	15	100	
52	75	59	84	69	73	31	54	77	17	67	82	
10	56	78	42	39	38	99	75	8	13	77	31	
14	71	20	11	97	13	92	100	73	15	69	95	
54	24	48	29	72	56	37	58	49	37	21	94	
25	94	91	81	89	91	45	39	19	52	8	24	
89	60	60	1	42	90	33	100	76	45	46	72	
96	41	94	67	92	44	5	14	51	90	87	34	
78	1	32	51	73	64	31	2	8	41	4	71	
47	29	56	95	31	47	15	78	55	84	25	96	
29	2	39	52	30	46	52	38	89	40	36	93	
26	25	49	60	10	86	100	7	24	47	57	28	
75	77	96	71	67	85	63	49	46	6	66	52	
88	70	22	7	92	43	13	19	68	12	93	87	
15	21	83	64	94	10	58	20	1	88	60	4	
70	60	43	3	29	58	12	17	70	21	72	7	
